Time (s),Speed (RPM),,Cycle,Number of Revolutions
1.1417,4329.7,,,
1.1458,4394.5,,,
1.15,4465.3,,,
1.1542,4533.9,,,
1.1583,4595.3,,,
1.1625,4646.9,,,
1.1667,4688.3,,,
1.1708,4720.3,,,
1.175,4744.2,,,
1.1792,4761.7,,,
1.1833,4774.1,,,
1.1875,4782.7,,,
1.1917,4788.6,,,
1.1958,4792.6,,,
1.2,4795.2,,,
1.2042,4797,,,
1.2083,4798.1,,,
1.2125,4798.8,,,
1.2167,4799.3,,,
1.2208,4799.5,,,
1.225,4799.7,,,
1.2292,4799.8,,,
1.2333,4799.9,,,
1.2375,4799.9,,,
1.2417,4800,,,
1.2458,4800,,,
1.25,4800,,,
1.2542,4800,,,
1.2583,4800,,,
1.2625,4800,,,
1.2667,4800,,,
1.2708,4800,,,
1.275,4800,,,
1.2792,4800,,,
1.2833,4818.7,,,
1.2875,4884.4,,,
1.2917,4996.9,,,
1.2958,5128.1,,,
1.3,5243,,,
1.3042,5316.8,,,
1.3083,5341.4,,,
1.3125,5322.1,,,
1.3167,5271.3,,,
1.3208,5203.2,,,
1.325,5129.9,,,
1.3292,5059.9,,,
1.3333,4998.3,,,
1.3375,4947.1,,,
1.3417,4906.5,,,
1.3458,4875.4,,,
1.35,4852.4,,,
1.3542,4835.8,,,
1.3583,4824.1,,,
1.3625,4816,,,
1.3667,4810.5,,,
1.3708,4806.8,,,
1.375,4804.3,,,
1.3792,4821.5,,,
1.3833,4886.1,,,
1.3875,4998,,,
1.3917,5128.8,,,
1.3958,5243.4,,,
1.4,5317,,,
1.4042,5341.6,,,
1.4083,5322.2,,,
1.4125,5271.4,,,
1.4167,5203.3,,,
1.4208,5129.9,,,
1.425,5059.9,,,
1.4292,4998.3,,,
1.4333,4947.1,,,
1.4375,4906.5,,,
1.4417,4875.4,,,
1.4458,4852.4,,,
1.45,4835.8,,,
1.4542,4824.1,,,
1.4583,4816,,,
1.4625,4810.5,,,
1.4667,4806.8,,,
1.4708,4804.3,,,
1.475,4802.7,,,
1.4792,4801.7,,,
1.4833,4801.1,,,
1.4875,4800.7,,,
1.4917,4800.4,,,
1.4958,4800.2,,,
1.5,4800.2,,,
1.5042,4800.1,,,
1.5083,4800.1,,,
1.5125,4818.8,,,
1.5167,4884.4,,,
1.5208,4996.9,,,
1.525,5128.1,,,
1.5292,5243,,,
1.5333,5316.8,,,
1.5375,5341.4,,,
1.5417,5322.1,,,
1.5458,5261.9,,,
1.55,5161,,,
1.5542,5022.1,,,
1.5583,4853.7,,,
